业务需求,板块,Tab/页面状态,URL,字段名（页面显示）,备注
全平台对比同一个词的多平台热度,全站找词,搜索词,/KeywordAll/searchWord?keyword=,抖·日均|快·日均|红·日均|微·月均|哔·搜索指数,聚合比较视图
看一个词的全站下拉词规模,全站找词,搜索词,/KeywordAll/searchWord?keyword=,全站下拉词数量,单位可能为w
抖音词的月覆盖量,DSO,搜索词,/KeywordDouyin/searchWord?keyword=,月覆盖人次,单位w/亿
抖音词的近7天搜索量,DSO,搜索词,/KeywordDouyin/searchWord?keyword=,7日搜索人次,常带平均:前缀
抖音词的下拉词规模,DSO,搜索词,/KeywordDouyin/searchWord?keyword=,下拉词数量,单位个或w
抖音词的下拉词总覆盖,DSO,搜索词,/KeywordDouyin/searchWord?keyword=,下拉词月覆盖,可能到亿
抖音词的类型标签,DSO,搜索词,/KeywordDouyin/searchWord?keyword=,类型,蓝海词/黑马词等
抖音相关词的月覆盖,DSO,相关词,/KeywordDouyin/correlationWord?keyword=,相关词月覆盖,当前奶茶样本页主表为空
抖音下拉词的月覆盖,DSO,下拉词,/KeywordDouyin/sugWord?keyword=,月覆盖人次,不再显示下拉词数量
抖音电商词的点击率,DSO,电商词,/KeywordDouyin/commerce?keyword=,搜索点击率,百分比
抖音电商词的订单规模,DSO,电商词,/KeywordDouyin/commerce?keyword=,订单量,区间值
抖音电商词的销售强度,DSO,电商词,/KeywordDouyin/commerce?keyword=,销售指数,指数型
抖音电商词的成交率,DSO,电商词,/KeywordDouyin/commerce?keyword=,搜索成交率,百分比
抖音榜单里的视频量,DSO,小蓝词榜,/KeywordDouyinHot/blue,视频数,榜单字段
抖音榜单里的点赞总量,DSO,小蓝词榜,/KeywordDouyinHot/blue,点赞总量,榜单字段
抖音行业榜里的搜索热度,DSO,行业词热搜榜,/KeywordDouyinHot/industryHot,搜索热度,行业榜字段
抖音行业榜里的消耗指标,DSO,行业词热搜榜,/KeywordDouyinHot/industryHot,消耗指数,行业榜字段
抖音话题榜里的话题热度,DSO,话题总榜,/KeywordDouyinHot/topicList,热度,当前奶茶样本为暂无数据
抖音详情页的地域分布,DSO,详情,/keyWordDetail/detail?keyword=,省份|城市级别|城市,详情页中下部
抖音详情页的年龄/性别/兴趣分布,DSO,详情,/keyWordDetail/detail?keyword=,年龄分布|性别分布|兴趣分布,详情页画像区
抖音详情页的作品互动字段,DSO,关联作品排名,/keyWordDetail/competeAnalyze?keyword=,点赞数|评论数|分享数|收藏数|互动率,作品排名页
抖音详情页的相关词列表字段,DSO,相关词列表,/keyWordDetail/competitive?keyword=,月覆盖人次|7日搜索人次|类型|竞争度,相关词TOP100
抖音详情页的搜索关联结构,DSO,搜索关联,/keyWordDetail/competeSearch?keyword=,搜索关联词|内容关联词|关联图谱,当前奶茶样本为空态
抖音详情页的关联商品字段,DSO,电商,/keyWordDetail/commerce?keyword=,销售金额指数|搜索后购买销量|点击次数|曝光次数|曝光点击率|点击转化率,关联商品表
小红书词的月均搜索量,RSO,搜索词,/KeywordXhs/searchWord?keyword=,月均搜索量,单位w
小红书词的7日搜索量,RSO,搜索词,/KeywordXhs/searchWord?keyword=,7日搜索人次,常见平均:前缀
小红书词的商业出价,RSO,搜索词,/KeywordXhs/searchWord?keyword=,市场出价,小数元
小红书词的推荐标签,RSO,搜索词,/KeywordXhs/searchWord?keyword=,推荐理由,同行买词/高点击词等
小红书相关词的商业出价,RSO,相关词,/KeywordXhs/correlationWord?keyword=,市场出价,列结构与下拉词一致
小红书下拉词的商业出价,RSO,下拉词,/KeywordXhs/sugWord?keyword=,市场出价,列结构与相关词一致
小红书详情页的趋势指标,RSO,详情,/RsoKeyWordDetail/detail?keyword=,搜索量|点击率,图表指标切换
小红书详情页的相关词字段,RSO,相关词列表,/RsoKeyWordDetail/competitive?keyword=,月覆盖人次|7日搜索人次|推荐理由|竞争程度|市场出价,相关词TOP100
快手词的近7天搜索量,KSO,搜索词,/KeywordKSO/searchWord?keyword=,近7天搜索量,近7天口径
快手词的下拉词总量,KSO,搜索词,/KeywordKSO/searchWord?keyword=,下拉词数量,单位个或w
快手词的下拉词近7天搜索量,KSO,搜索词,/KeywordKSO/searchWord?keyword=,下拉词近7天搜索量,近7天口径
快手词的类型标签,KSO,搜索词,/KeywordKSO/searchWord?keyword=,类型,低成本词/高点击词等
快手相关词热度,KSO,相关词,/KeywordKSO/correlationWord?keyword=,近7天搜索量,列结构与下拉词一致
快手下拉词热度,KSO,下拉词,/KeywordKSO/sugWord?keyword=,近7天搜索量,列结构与相关词一致
快手飙升榜热度,KSO,搜索飙升榜,榜单页,热度,排行字段
快手飙升榜状态标签,KSO,搜索飙升榜,榜单页,新|热|直播,榜单附加标签
快手详情页的趋势时间轴,KSO,详情,/KsoKeyWordDetail/detail?keyword=,7天|15天|30天,图表时间切换
快手详情页的相关词字段,KSO,相关词列表,/KsoKeyWordDetail/competitive?keyword=,近7天搜索量|字数|类型|竞争度,相关词TOP100
微信词的月均搜索量,WSO,搜索词,/KeywordWSO/searchWord?keyword=,月均搜索量,月度口径
微信词的月均点击量,WSO,搜索词,/KeywordWSO/searchWord?keyword=,月均点击量,月度口径
微信词的推荐标签,WSO,搜索词,/KeywordWSO/searchWord?keyword=,推荐理由,同行买词/高点击词等
