title,url,mp_name,rejected_type,rejected_reason,rejected_time
银行 “保本型理财” 的水有多深？亏钱背后的真相，一文给你讲明白,https://mp.weixin.qq.com/s/6v2C4hwX9zCHYoyWUwhi9g,港险圈研究院,🙅‍ 不选,标题讨论的是'银行保本型理财'，与我们香港储蓄险业务无关，属于明确的非相关主题。,2025-07-20 21:00:03
太保新品金如意，保证复利1.5%+直付内地养老社区，可惜有3个猫腻,https://mp.weixin.qq.com/s/4lXlvxXpf-tkL2QcdIcDTg,小冯妮儿聊港险,🙅‍ 不选,标题提及'太保新品金如意'，属于内地保险产品，与我们香港储蓄险业务无关。,2025-07-20 21:00:03
注意！税局对个人境外收入严查风暴来袭，香港保险能否独善其身？,https://mp.weixin.qq.com/s/dmjrzrlICnXqLVHv7v8b6A,心水保,🙅‍ 不选,标题涉及'税局对个人境外收入严查'和'香港保险能否独善其身'，属于税务研讨类内容，存在政策风险，必须无条件排除。,2025-07-20 21:00:04
数据揭秘丨买多少保险才能住得起养老社区,https://mp.weixin.qq.com/s/taDgY6QcAWkO5oih3Ip4sg,Pippo的金融笔记,⛔ 看文章再确定,标题提及'保险'和'养老社区'，但未明确是否与香港保险相关，需要阅读文章以判断其可复用价值。,2025-07-20 21:00:04
30年预期翻至6.2倍，7月爆款新品上线！,https://mp.weixin.qq.com/s/exXwgpk5IkjwPdsjthWrzw,香港投资风向标,➿ 钩子文章,标题包含具体数字（6.2倍）和'爆款新品'的诱惑性描述，但未点明具体产品，符合钩子文章的定义。,2025-07-20 21:00:04
回本快过存银行？2年缴费，3年回本，收益碾压老牌巨头？,https://mp.weixin.qq.com/s/_V65RFGWyQiDU0L_Pm7vyw,港险渠道,➿ 钩子文章,标题包含具体数字（2年缴费、3年回本）和收益对比，但未点明具体产品，属于典型的钩子文章形式。,2025-07-20 21:00:04
CRS监管+海外投资征税升级，买香港保险要交税吗？,https://mp.weixin.qq.com/s/oP3frk_GpLssIjLjZVFOBw,蓝星探险,🙅‍ 不选,标题涉及'CRS监管'和'海外投资征税'，属于高危政策风险内容，必须无条件排除。,2025-07-20 21:00:04
香港宏利保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/kRoChGxd_l3_mY-dRUbK4A,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港万通保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/OFMweNz5SlfjnsuUwAmZwQ,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港友邦保险公司APP，更改受益人流程,https://mp.weixin.qq.com/s/AL2wTllseN8af2iMIIax9w,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（更改受益人），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港保诚保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/E9-vfZG7FZnc9aadX_ijsA,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（绑定银行自动扣款），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
香港万通保险公司APP，绑定香港银行自动扣款保费流程,https://mp.weixin.qq.com/s/BVYBgNDiFRJGngCCMaG5Xw,香港保险行业资讯,🙅‍ 不选,标题涉及具体APP操作流程（绑定银行自动扣款），属于技术性内容，无法提供增量信息或吸引精准流量，与核心业务无关。,2025-07-20 21:03:28
如果保险公司倒闭了，我的香港保单怎么办？,https://mp.weixin.qq.com/s/nfrLQOeJ-6DhpyNxQ7HM0Q,港险渠道,🙅‍ 不选,标题涉及保险公司倒闭的系统性风险，属于负面信息，可能对品牌形象产生不利影响，且无法提供增量信息，故归类为不选。,2025-07-20 21:03:28
体检“一堆毛病”？宏利宏伴重疾险，高发病症全覆盖，还有源源不断现金流！,https://mp.weixin.qq.com/s/NTfPFEyiXq-G2lZlQ7zAxw,港险研究院,🙅‍ 不选,标题提及'重疾险'，与我们核心关注的香港储蓄险业务无关，属于明确的非相关主题，应排除。,2025-07-20 21:41:38
